	CuBa-Cu-air		CuBa-Cu-400mA		Cu foil
8777.23	0.3074384189	8777.23	0.30071991881	8779.0047	0.30056271294
8782.23	0.3059648498	8782.23	0.30046734812	8789.0151	0.30045581478
8787.23	0.305546896	8787.23	0.3003867084	8799.0119	0.30038804854
8792.23	0.3038862968	8792.23	0.300064831873	8809.0136	0.30026964739
8797.23	0.3044447824	8797.23	0.30037514043	8819.0015	0.300068528967
8802.23	0.3040794585	8802.23	0.29982974734	8829.0126	0.299975413273
8807.23	0.3039180436	8807.23	0.30012103868	8839.0098	0.29984957658
8812.23	0.3032107182	8812.23	0.300051289018	8849.0115	0.29981058967
8817.23	0.3034567299	8817.23	0.30028951982	8859.0177	0.29966748481
8822.23	0.3031664673	8822.23	0.30021268537	8869.0095	0.29972961157
8827.23	0.3030818208	8827.23	0.299988922292	8879.0057	0.29979844111
8832.23	0.3031500271	8832.23	0.29980336049	8889.0061	0.29981495956
8837.23	0.3016076838	8837.23	0.299933019224	8899.0107	0.29983961889
8842.23	0.3011239167	8842.23	0.30029664617	8909.0005	0.300030002835
8847.23	0.30189705	8847.23	0.29956259696	8919.0134	0.30019986533
8852.23	0.3005903234	8852.23	0.29963862867	8929.0112	0.30055821147
8857.23	0.3013895774	8857.23	0.29964940048	8939.0129	0.3012053937
8862.23	0.30074754349	8862.23	0.29960666098	8949.0185	0.3023852085
8867.23	0.2996431823	8867.23	0.29989172377	8949.4016	0.3024528721
8872.23	0.29978717052	8872.23	0.30034256806	8949.8038	0.3025337229
8877.23	0.29919648621	8877.23	0.29959898622	8950.2061	0.3025957544
8882.23	0.29968648649	8882.23	0.29949552277	8950.6085	0.3027032803
8887.23	0.29976198138	8887.23	0.300039105167	8951.0109	0.30279473
8892.23	0.29919850885	8892.23	0.30013815026	8951.4133	0.30282739
8897.23	0.29953912195	8897.23	0.30032969042	8951.8157	0.3029403401
8902.23	0.2987735288	8902.23	0.30025339439	8952.2182	0.3030302223
8907.23	0.2988526303	8907.23	0.30048737115	8952.6016	0.3031055153
8912.23	0.2978302857	8912.23	0.30058061369	8953.0042	0.3031657456
8917.23	0.2980729687	8917.23	0.30017167743	8953.4068	0.3032795172
8922.23	0.2988439471	8922.23	0.3015372146	8953.8094	0.3034069867
8927.23	0.2986344884	8927.23	0.3010014308	8954.2121	0.3034693335
8932.23	0.2981184587	8932.23	0.30138599	8954.6148	0.3035360626
8937.23	0.2978864164	8937.23	0.3016669034	8955.0175	0.3037170767
8941.9152	0.2987846205	8941.9152	0.3022200907	8955.4011	0.3038876759
8945.7402	0.2986760378	8945.7402	0.3029819345	8955.804	0.304054512
8948.3902	0.29964688023	8948.3902	0.3031539313	8956.2068	0.3041708157
8949.8652	0.29945174968	8949.8652	0.3040102831	8956.6097	0.3043070576
8950.48	0.29943827697	8950.48	0.3035138901	8957.0127	0.3044788249
8950.78	0.30056210999	8950.78	0.3039192743	8957.4156	0.3045816498
8951.08	0.29957669061	8951.08	0.3039700734	8957.8186	0.3046929919
8951.38	0.29919437488	8951.38	0.304036817	8958.2025	0.3048951928
8951.68	0.30025156196	8951.68	0.303625542	8958.6056	0.3050436149
8951.98	0.3002267014	8951.98	0.3043059736	8959.0087	0.3051979352
8952.28	0.29928907251	8952.28	0.3039636719	8959.4118	0.3053848078
8952.58	0.29912615972	8952.58	0.3042336818	8959.815	0.3055354086
8952.88	0.3002793823	8952.88	0.3045427221	8960.2183	0.3056986913
8953.18	0.29913267694	8953.18	0.3043488557	8960.6023	0.3058886398
8953.48	0.29912694315	8953.48	0.3047747926	8961.0056	0.3061034983
8953.78	0.2997539838	8953.78	0.3041987025	8961.409	0.3063905484
8954.08	0.29904892588	8954.08	0.3049973431	8961.8123	0.3065617394
8954.38	0.29968971146	8954.38	0.3041956914	8962.2158	0.3067351751
8954.68	0.3006651219	8954.68	0.304843546	8962.6192	0.3069772667
8954.98	0.30068120432	8954.98	0.3046063237	8963.0035	0.3072027158
8955.28	0.2994817647	8955.28	0.3047123879	8963.407	0.3074899533
8955.58	0.30013731298	8955.58	0.3048085163	8963.8106	0.3077755394
8955.88	0.3012633305	8955.88	0.3049815272	8964.2142	0.3080246929
8956.18	0.29962970586	8956.18	0.3052709128	8964.6178	0.3083324943
8956.48	0.30015686978	8956.48	0.3050338023	8965.0023	0.3086517409
8956.78	0.29972442228	8956.78	0.3049367341	8965.406	0.3088341701
8957.08	0.3017044554	8957.08	0.3048633209	8965.8097	0.3093805248
8957.38	0.300045523012	8957.38	0.3055314163	8966.2135	0.309738011
8957.68	0.2997395665	8957.68	0.3055610721	8966.6173	0.310178116
8957.98	0.30038626997	8957.98	0.3054701977	8967.0019	0.310510785
8958.28	0.30053484157	8958.28	0.3052363111	8967.4058	0.310922865
8958.58	0.30068804969	8958.58	0.306252618	8967.8098	0.311368751
8958.88	0.30068255806	8958.88	0.3060877389	8968.2137	0.311904868
8959.18	0.3010965215	8959.18	0.3059894405	8968.6177	0.312440765
8959.48	0.3012501135	8959.48	0.3061685742	8969.0025	0.312996008
8959.78	0.3020238092	8959.78	0.3060937118	8969.4066	0.313654919
8960.08	0.3017446579	8960.08	0.3066794163	8969.8107	0.314364865
8960.38	0.3016801586	8960.38	0.3064605669	8970.2149	0.315109214
8960.68	0.3024385955	8960.68	0.3067265963	8970.6191	0.315879678
8960.98	0.3018075308	8960.98	0.3064184788	8971.0041	0.316646105
8961.28	0.3017609592	8961.28	0.3078698565	8971.4083	0.317691442
8961.58	0.3011412943	8961.58	0.3073640044	8971.8126	0.31884673
8961.88	0.3019862418	8961.88	0.3073971468	8972.217	0.320112065
8962.18	0.3019852326	8962.18	0.3071984938	8972.6021	0.321524971
8962.48	0.3018102025	8962.48	0.3077233839	8973.0065	0.323160694
8962.78	0.3020599442	8962.78	0.3077909445	8973.4109	0.324971927
8963.08	0.3019310091	8963.08	0.3074317438	8973.8154	0.327201962
8963.38	0.3022415603	8963.38	0.308058874	8974.2007	0.32959524
8963.68	0.3030052106	8963.68	0.3077727626	8974.6052	0.332672421
8963.98	0.3029720174	8963.98	0.3082557084	8975.0098	0.336616615
8964.28	0.3026043487	8964.28	0.3087724049	8975.4145	0.341532609
8964.58	0.3022365258	8964.58	0.3085782495	8975.8191	0.348026989
8964.88	0.3030722494	8964.88	0.3088283853	8976.2046	0.356374621
8965.18	0.3033313863	8965.18	0.3084674628	8976.6093	0.36887696
8965.48	0.3030400756	8965.48	0.3088366256	8977.0141	0.387298592
8965.78	0.3026407638	8965.78	0.3094991288	8977.4189	0.41339205
8966.08	0.3045437382	8966.08	0.3095398588	8977.8045	0.44731814
8966.38	0.3037898931	8966.38	0.3089147215	8978.2094	0.49176774
8966.68	0.3034017158	8966.68	0.3098449355	8978.6143	0.54317115
8966.98	0.3047882994	8966.98	0.3098049382	8979	0.59580631
8967.28	0.3039903973	8967.28	0.3099976044	8979.3857	0.64163349
8967.58	0.3041230972	8967.58	0.310054637	8979.7908	0.6933824
8967.88	0.304816918	8967.88	0.310409593	8980.1958	0.72752031
8968.18	0.3050107737	8968.18	0.310798987	8980.5817	0.74765503
8968.48	0.3051930718	8968.48	0.311220891	8980.9868	0.75728527
8968.78	0.3053337143	8968.78	0.311110584	8981.392	0.75904722
8969.08	0.3047288152	8969.08	0.311635021	8981.7972	0.75685377
8969.38	0.3054085614	8969.38	0.311676081	8982.1832	0.75421297
8969.68	0.3059822258	8969.68	0.31202701	8982.5885	0.75346795
8969.98	0.3069893085	8969.98	0.311951456	8982.9938	0.75643183
8970.28	0.3071689845	8970.28	0.312560921	8983.3992	0.76324012
8970.58	0.307248662	8970.58	0.312576463	8983.7853	0.7731407
8970.88	0.3076043465	8970.88	0.313326081	8984.1907	0.78638697
8971.18	0.3067705194	8971.18	0.31426681	8984.5962	0.80089286
8971.48	0.3070489466	8971.48	0.314103297	8984.9824	0.8155464
8971.78	0.3081171194	8971.78	0.314594277	8985.388	0.83129763
8972.08	0.3083674513	8972.08	0.315407971	8985.7936	0.84749021
8972.38	0.3089654357	8972.38	0.316131091	8986.1992	0.86486162
8972.68	0.3086881258	8972.68	0.316135019	8986.5856	0.88293414
8972.98	0.3095611281	8972.98	0.316832242	8986.9913	0.90410828
8973.28	0.3098879447	8973.28	0.317569562	8987.397	0.92777833
8973.58	0.310150997	8973.58	0.318941802	8987.7835	0.95287955
8973.88	0.310845567	8973.88	0.319853843	8988.1893	0.98156138
8974.18	0.311774096	8974.18	0.320519866	8988.5951	1.01314095
8974.48	0.311913722	8974.48	0.320891285	8988.9817	1.0447823
8974.78	0.311626344	8974.78	0.322368	8989.3876	1.07908947
8975.08	0.313070626	8975.08	0.323706903	8989.7936	1.11454595
8975.38	0.312336417	8975.38	0.324538915	8990.1996	1.14943591
8975.68	0.314182714	8975.68	0.325996007	8990.5863	1.18190407
8975.98	0.314533333	8975.98	0.327675947	8990.9924	1.21398578
8976.28	0.315176584	8976.28	0.329520042	8991.3985	1.24283576
8976.58	0.316492546	8976.58	0.330786644	8991.7853	1.26671612
8976.88	0.316489435	8976.88	0.333495341	8992.1915	1.28686537
8977.18	0.319196147	8977.18	0.336026165	8992.5977	1.3013037
8977.48	0.320478584	8977.48	0.340288404	8992.9846	1.3092172
8977.78	0.323473287	8977.78	0.344446753	8993.3909	1.3118184
8978.08	0.325812114	8978.08	0.34891719	8993.7972	1.3088018
8978.38	0.328679153	8978.38	0.354861585	8994.1843	1.3020996
8978.68	0.330695698	8978.68	0.363149988	8994.5907	1.29201667
8978.98	0.332339474	8978.98	0.373466819	8994.9971	1.2803562
8979.28	0.333745781	8979.28	0.386460569	8995.3842	1.26842115
8979.58	0.334487132	8979.58	0.40436044	8995.7908	1.25621424
8979.88	0.333230704	8979.88	0.42921315	8996.1973	1.24514907
8980.18	0.33430222	8980.18	0.46184919	8996.5845	1.23584497
