B.E.(eV)	Raw	Intensity	1	Sum	Background	Peak
799.08	8855.55	68517.45	60563.75	94.4599999999991	7859.23	901.8516
798.98	9450.54000000001	69353.9	60560.56	95.6000000000058	8697.74000000001	657.2031
798.88	11736.02	70276.09	60557.38	96.75	9621.97000000001	2017.305
798.78	13088.77	71286.01	60554.23	97.9199999999983	10633.86	2356.992
798.68	13914.09	72383	60551.11	99.1100000000006	11732.78	2082.203
798.58	15363.18	73560.36	60548.02	100.330000000002	12912.01	2350.844
798.48	16505.92	74808.54	60544.98	101.559999999998	14162	2242.359
798.38	17220.03	76107.55	60541.97	102.830000000002	15462.75	1654.453
798.28	18074.58	77430.05	60539.02	104.100000000006	16786.93	1183.555
798.18	19862.09	78737.45	60536.11	105.409999999996	18095.93	1660.75
798.08	19893.94	79976.7	60533.26	106.739999999998	19336.69	450.5
797.98	21308.74	81087.3	60530.46	108.110000000001	20448.73	751.9063
797.88	21371.97	82000.1	60527.73	109.489999999998	21362.88	-100.3984
797.78	21819.55	82650.55	60525.05	110.909999999996	22014.6	-305.9453
797.68	21725.65	82986.53	60522.45	112.340000000004	22351.74	-738.4297
797.58	21196.4	82978.64	60519.9	113.809999999998	22344.94	-1262.344
797.48	21596.98	82627.49	60517.42	115.310000000005	21994.77	-513.0938
797.38	20925.6	81963.52	60515	116.830000000002	21331.69	-522.9141
797.28	20072.36	81039.59	60512.64	118.389999999999	20408.56	-454.5938
797.18	19260.96	79920.53	60510.34	119.970000000001	19290.22	-149.2344
797.08	17858.01	78675.4	60508.09	121.600000000006	18045.71	-309.2969
796.98	17344.8	77364.34	60505.9	123.239999999998	16735.19	486.3594
796.88	16183.35	76039.95	60503.75	124.93	15411.27	647.1563
796.78	15260.76	74740.38	60501.64	126.650000000001	14112.08	1022.023
796.68	15250.13	73492.51	60499.57	128.410000000004	12864.53	2257.195
796.58	13455.95	72316.05	60497.55	130.199999999997	11688.29	1637.453
796.48	12329.15	71220.27	60495.55	132.039999999994	10592.69	1604.43
796.38	11714.01	70211.7	60493.59	133.900000000001	9584.21000000001	1995.898
796.28	10145.65	69290.87	60491.65	135.809999999998	8663.4	1346.43
796.18	9797.57	68455.69	60489.73	137.769999999997	7828.19999999999	1831.609
796.08	9075.06	67703.77	60487.84	139.75	7076.17	1859.133
795.98	8029.24	67029.44	60485.96	141.790000000001	6401.69	1485.766
795.88	7735.71000000001	66428.07	60484.09	143.880000000005	5800.11	1791.727
795.78	6427.56000000001	65893.31	60482.24	146	5265.07	1016.484
795.68	6144.01	65418.82	60480.39	148.18	4790.25	1205.578
795.58	5249.55	64999.14	60478.55	150.399999999994	4370.19	728.9609
795.48	5614.89000000001	64627.91	60476.71	152.68	3998.52	1463.691
795.38	4407.12	64300.04	60474.88	155	3670.16	581.9648
795.28	4792.96	64010.1	60473.04	157.379999999997	3379.68	1255.898
795.18	4090.99	63753.24	60471.21	159.809999999998	3122.22	808.9609
795.08	3427.32	63525.48	60469.38	162.300000000003	2893.8	371.2148
794.98	3697.66	63322.75	60467.54	164.860000000001	2690.35	842.4531
794.88	3840.60000000001	63141.91	60465.7	167.470000000001	2508.74000000001	1164.395
794.78	2265.84	62979.92	60463.86	170.139999999999	2345.92	-250.2188
794.68	2535.49	62834.17	60462.01	172.869999999995	2199.28	163.332
794.58	3106.85	62702.66	60460.15	175.68	2066.84	864.3359
794.48	1888.01	62583.4	60458.29	178.549999999996	1946.56	-237.1016
794.38	2038.38000000001	62474.96	60456.42	181.490000000005	1837.04	19.84375
794.28	1659.96	62375.93	60454.54	184.510000000002	1736.88	-261.4258
794.18	1527.45	62285.14	60452.65	187.599999999999	1644.89	-305.0352
794.08	1556.85	62201.75	60450.75	190.769999999997	1560.23	-194.1445
793.98	1669.36	62124.85	60448.84	194.020000000004	1481.99000000001	-6.652344
793.88	1666.68	62053.86	60446.92	197.349999999999	1409.58	59.74609
793.78	1610.41	61988.12	60444.99	200.770000000004	1342.36	67.27734
793.68	1525.85	61927.11	60443.05	204.279999999999	1279.78	41.78516
793.58	1300.01	61870.46	60441.09	207.890000000007	1221.49000000001	-129.3633
793.48	1117.57	61817.72	60439.13	211.590000000004	1167.01	-261.0234
793.38	675.439999999995	61768.62	60437.16	215.379999999997	1116.07	-656.0156
793.28	1106.13	61722.82	60435.17	219.290000000001	1068.37	-181.5195
793.18	434.830000000002	61680.04	60433.17	223.290000000001	1023.58	-812.0391
793.08	1532.24	61640.09	60431.16	227.409999999996	981.519999999997	323.3086
792.98	1259.37	61602.73	60429.13	231.650000000002	941.950000000005	85.77344
792.88	1287.7	61567.8	60427.1	235.989999999998	904.700000000005	147.0039
792.78	1232.05	61535.12	60425.05	240.469999999994	869.599999999999	121.9844
792.68	1553.8	61504.5	60423	245.07	836.430000000001	472.2969
792.58	1080.27	61475.87	60420.93	249.800000000003	805.129999999998	25.33203
792.48	823.550000000003	61449.04	60418.85	254.690000000002	775.510000000002	-206.6445
792.38	1567.64	61423.95	60416.76	259.699999999997	747.489999999998	560.4531
792.28	1548.53999999999	61400.45	60414.66	264.859999999993	720.929999999993	562.7461
792.18	736.349999999999	61378.47	60412.55	270.189999999995	695.739999999998	-229.5742
792.08	1353.17	61357.93	60410.43	275.669999999998	671.839999999997	405.668
791.98	130.099999999999	61338.73	60408.3	281.32	649.110000000001	-800.3359
791.88	887.849999999999	61320.83	60406.15	287.150000000002	627.529999999999	-26.82813
791.78	576.410000000004	61304.14	60403.99	293.150000000002	606.990000000005	-323.7383
791.68	976.779999999999	61288.59	60401.82	299.349999999999	587.419999999998	90.00781
791.58	758.270000000004	61274.17	60399.63	305.75	568.790000000001	-116.2695
791.48	965.459999999999	61260.8	60397.44	312.349999999999	551.009999999995	102.1016
791.38	873.369999999996	61248.45	60395.23	319.169999999998	534.049999999996	20.15625
791.28	773.880000000005	61237.07	60393.02	326.200000000004	517.840000000004	-70.17188
791.18	766.709999999999	61226.64	60390.79	333.479999999996	502.360000000001	-69.13672
791.08	617.559999999998	61217.11	60388.54	341.010000000002	487.57	-211.0117
790.98	591.809999999998	61208.47	60386.29	348.790000000001	473.39	-230.3672
790.88	678.080000000002	61200.69	60384.02	356.840000000004	459.840000000004	-138.5898
790.78	453.75	61193.75	60381.75	365.150000000002	446.839999999997	-358.25
790.68	-98.3499999999986	61187.62	60379.45	373.780000000006	434.39	-906.5156
790.58	-46.0500000000029	61182.29	60377.15	382.699999999997	422.439999999995	-851.1914
790.48	541.970000000001	61177.77	60374.83	391.959999999999	410.979999999996	-260.9648
790.38	492	61174.02	60372.5	401.540000000001	399.980000000003	-309.5156
790.28	-209.860000000001	61171.04	60370.16	411.469999999994	389.409999999996	-1010.738
790.18	-91.7000000000044	61168.84	60367.8	421.789999999994	379.25	-892.7344
790.08	-403.529999999999	61167.39	60365.43	432.480000000003	369.470000000001	-1205.492
789.98	634.959999999999	61166.71	60363.04	443.599999999999	360.07	-168.7148
789.88	434.360000000001	61166.81	60360.64	455.150000000002	351.029999999999	-371.8086
789.78	109.469999999994	61167.68	60358.23	467.14	342.32	-699.9805
789.68	-1135.50999999999	61169.34	60355.81	479.620000000003	333.920000000006	-1949.039
789.58	272.029999999999	61171.78	60353.37	492.589999999997	325.829999999995	-546.3828
789.48	-84.3199999999997	61175.04	60350.92	506.099999999999	318.020000000004	-908.4336
789.38	-89.7600000000021	61179.11	60348.46	520.160000000004	310.489999999998	-920.4063
789.28	55.1199999999954	61184.02	60345.98	534.809999999998	303.229999999996	-782.918
789.18	-33.8899999999994	61189.79	60343.49	550.099999999999	296.209999999999	-880.1914
789.08	-618.780000000006	61196.45	60340.98	566.039999999994	289.439999999995	-1474.25
788.98	-411.669999999998	61204.03	60338.47	582.669999999998	282.889999999999	-1277.227
788.88	-415.540000000001	61212.54	60335.94	600.040000000001	276.559999999998	-1292.141
788.78	583.510000000002	61222.02	60333.39	618.190000000002	270.440000000002	-305.125
788.68	-642.539999999994	61232.54	60330.84	637.18	264.520000000004	-1544.238
788.58	-494.869999999995	61244.11	60328.27	657.050000000003	258.790000000001	-1410.711
788.48	-411.290000000001	61256.79	60325.69	677.849999999999	253.239999999998	-1342.387
788.38	-586.589999999997	61270.61	60323.09	699.640000000007	247.870000000003	-1534.105
788.28	-443.880000000005	61285.64	60320.48	722.489999999998	242.68	-1409.043
788.18	-183.260000000002	61301.97	60317.86	746.470000000001	237.639999999999	-1167.367
788.08	-868.830000000002	61319.62	60315.23	771.64	232.75	-1873.223
787.98	-565.380000000005	61338.7	60312.58	798.110000000001	228.009999999995	-1591.504
787.88	-885.010000000002	61359.27	60309.91	825.939999999995	223.419999999998	-1934.371
787.78	-412.14	61381.42	60307.24	855.220000000001	218.959999999999	-1486.32
787.68	-1125.25	61405.28	60304.55	886.089999999997	214.639999999999	-2225.977
787.58	-848.949999999997	61430.91	60301.85	918.620000000003	210.440000000002	-1978.012
787.48	-185.129999999997	61458.46	60299.13	952.980000000003	206.360000000001	-1344.465
787.38	-496.310000000005	61488.04	60296.41	989.229999999996	202.389999999999	-1687.938
787.28	-1324.87	61519.8	60293.67	1027.58	198.550000000003	-2551
787.18	-701.919999999998	61553.92	60290.92	1068.19	194.810000000005	-1964.918
787.08	-680.050000000003	61590.52	60288.15	1111.19	191.18	-1982.418
786.98	-266.079999999995	61629.84	60285.38	1156.82	187.630000000005	-1610.535
786.88	499.810000000005	61672.04	60282.59	1205.25	184.200000000004	-889.6406
786.78	-1223.99	61717.38	60279.79	1256.73	180.860000000001	-2661.578
786.68	-250.880000000005	61766.14	60276.98	1311.56	177.609999999993	-1740.039
786.58	315.93	61818.55	60274.17	1369.94	174.43	-1228.445
786.48	-523.239999999998	61874.98	60271.34	1432.29	171.350000000006	-2126.875
786.38	-332.199999999997	61935.71	60268.5	1498.87	168.349999999999	-1999.41
786.28	-158.360000000001	62001.19	60265.66	1570.10999999999	165.419999999998	-1893.891
786.18	-153.600000000006	62071.9	60262.8	1646.53	162.57	-1962.699
786.08	-551.149999999994	62148.26	60259.95	1728.52	159.790000000001	-2439.461
785.98	-254.870000000003	62230.94	60257.07	1816.79	157.080000000002	-2228.742
785.88	-1442.19	62320.52	60254.19	1911.88	154.449999999997	-3508.516
785.78	96.1999999999971	62417.79	60251.3	2014.61	151.869999999995	-2070.285
785.68	-168.790000000001	62523.73	60248.39	2125.98	149.370000000003	-2444.133
785.58	-129.089999999997	62639.28	60245.49	2246.88000000001	146.910000000004	-2522.883
785.48	825.830000000002	62765.82	60242.57	2378.73	144.529999999999	-1697.422
785.38	392.75	62904.68	60239.65	2522.83	142.199999999997	-2272.277
785.28	20.8699999999953	63057.69	60236.73	2681.03999999999	139.919999999998	-2800.09
785.18	725	63227.09	60233.8	2855.59	137.699999999997	-2268.289
785.08	1323.43	63415.17	60230.87	3048.77	135.529999999999	-1860.867
784.98	889.970000000001	63625.17	60227.93	3263.83	133.409999999996	-2507.273
784.88	1098.5	63860.4	60225	3504.05	131.339999999997	-2536.898
784.78	1634.04	64125.15	60222.06	3773.77	129.32	-2269.047
784.68	1905.38	64424.52	60219.12	4078.05	127.339999999997	-2300.016
784.58	2121.02	64763.8	60216.18	4422.2	125.419999999998	-2426.598
784.48	2821.95	65149.88	60213.25	4813.1	123.529999999999	-2114.676
784.38	3249.88	65589.58	60210.32	5257.57	121.690000000002	-2129.379
784.28	4368.28999999999	66091.22	60207.41	5763.92999999999	119.879999999997	-1515.52
784.18	5989.4	66664.01	60204.5	6341.39	118.110000000001	-470.1094
784.08	6493.69	67316.75	60201.61	6998.75	116.389999999999	-621.4531
783.98	8637.36000000001	68060.16	60198.74	7746.72000000001	114.700000000004	775.9375
783.88	9987.4	68903.53	60195.9	8594.58	113.049999999996	1279.766
783.78	10649.81	69857.31	60193.09	9552.79000000001	111.43	985.5859
783.68	12163.58	70931.69	60190.32	10631.52	109.849999999999	1422.211
783.58	13552.81	72133.73	60187.59	11837.84	108.300000000003	1606.664
783.48	15875.49	73471.34	60184.91	13179.64	106.789999999994	2589.063
783.38	18557.12	74946.24	60182.28	14658.66	105.309999999998	3793.156
783.28	20958.68	76557.98	60179.72	16274.41	103.849999999999	4580.422
783.18	21979.16	78299.58	60177.24	18019.92	102.420000000006	3856.82
783.08	23073.17	80151.25	60174.83	19875.39	101.029999999999	3096.75
782.98	25082.79	82084.28	60172.51	21812.11	99.6599999999962	3171.016
782.88	26996.42	84048.28	60170.28	23779.67	98.3199999999997	3118.422
782.78	27372.76	85976.08	60168.14	25710.92	97.0200000000041	1564.82
782.68	28047.09	87779.26	60166.11	27517.42	95.7299999999959	433.9453
782.58	28465.02	89348.81	60164.18	29090.16	94.4700000000012	-719.6094
782.48	29274.94	90572.95	60162.36	30317.36	93.2299999999959	-1135.656
782.38	29409.26	91347.01	60160.64	31094.35	92.0100000000021	-1777.109
782.28	29287.37	91599.41	60159.03	31349.56	90.8300000000018	-2153.016
782.18	29651.58	91304.78	60157.52	31057.61	89.6600000000035	-1495.68
782.08	28064.77	90492.06	60156.13	30247.42	88.5200000000041	-2271.164
781.98	27761.36	89235.48	60154.84	28993.25	87.3900000000067	-1319.281
781.88	26722.85	87641.11	60153.65	27401.16	86.2999999999956	-764.6094
781.78	25503.74	85821.83	60152.56	25584.06	85.2099999999991	-165.5313
781.68	24473.14	83882.31	60151.56	23646.6	84.1500000000015	742.3906
